,datetime,home_team,away_team,home_goal,away_goal,season,stage,ALVO,Pre_Home_Palmeiras,Pre_Home_Santos,Pre_Home_SaoPaulo,Pre_Home_Corinthians,Pre_Home_Outros,Pre_Away_Palmeiras,Pre_Away_Santos,Pre_Away_SaoPaulo,Pre_Away_Corinthians,Pre_Away_Outros,Pre_home_goal,Pre_away_goal
0,2012-05-19 18:30:00,Palmeiras,Portuguesa,1.0,1.0,2012.0,pontos corridos,1,1,0,0,0,0,0,0,0,0,1,0.125,0.14285714285714285
4,2012-05-20 16:00:00,Corinthians,Fluminense,0.0,1.0,2012.0,pontos corridos,0,0,0,0,1,0,0,0,0,0,1,0.0,0.14285714285714285
5,2012-05-20 16:00:00,Botafogo,São Paulo,4.0,2.0,2012.0,pontos corridos,2,0,0,0,0,1,0,0,1,0,0,0.5,0.2857142857142857
8,2012-05-20 18:30:00,Bahia,Santos,0.0,0.0,2012.0,pontos corridos,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0
14,2012-05-27 16:00:00,Santos,Sport,0.0,0.0,2012.0,pontos corridos,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0
15,2012-05-27 16:00:00,Atlético,Corinthians,1.0,0.0,2012.0,pontos corridos,2,0,0,0,0,1,0,0,0,1,0,0.125,0.0
17,2012-05-27 16:00:00,São Paulo,Bahia,1.0,0.0,2012.0,pontos corridos,2,0,0,1,0,0,0,0,0,0,1,0.125,0.0
18,2012-05-27 18:30:00,Grêmio,Palmeiras,1.0,0.0,2012.0,pontos corridos,2,0,0,0,0,1,1,0,0,0,0,0.125,0.0
21,2012-06-06 19:30:00,Sport,Palmeiras,2.0,1.0,2012.0,pontos corridos,2,0,0,0,0,1,1,0,0,0,0,0.25,0.14285714285714285
26,2012-06-06 21:50:00,Internacional,São Paulo,1.0,0.0,2012.0,pontos corridos,2,0,0,0,0,1,0,0,1,0,0,0.125,0.0
27,2012-06-06 21:50:00,Santos,Fluminense,1.0,1.0,2012.0,pontos corridos,1,0,1,0,0,0,0,0,0,0,1,0.125,0.14285714285714285
28,2012-06-07 21:00:00,Corinthians,Figueirense,1.0,1.0,2012.0,pontos corridos,1,0,0,0,1,0,0,0,0,0,1,0.125,0.14285714285714285
31,2012-06-09 21:00:00,Palmeiras,Atlético,0.0,1.0,2012.0,pontos corridos,0,1,0,0,0,0,0,0,0,0,1,0.0,0.14285714285714285
33,2012-06-10 17:00:00,Grêmio,Corinthians,2.0,0.0,2012.0,pontos corridos,2,0,0,0,0,1,0,0,0,1,0,0.25,0.0
39,2012-06-10 18:30:00,São Paulo,Santos,1.0,0.0,2012.0,pontos corridos,2,0,0,1,0,0,0,1,0,0,0,0.125,0.0
43,2012-06-17 16:00:00,São Paulo,Atlético,1.0,0.0,2012.0,pontos corridos,2,0,0,1,0,0,0,0,0,0,1,0.125,0.0
44,2012-06-17 16:00:00,Palmeiras,Vasco da Gama,1.0,1.0,2012.0,pontos corridos,1,1,0,0,0,0,0,0,0,0,1,0.125,0.14285714285714285
46,2012-06-17 16:00:00,Flamengo,Santos,1.0,0.0,2012.0,pontos corridos,2,0,0,0,0,1,0,1,0,0,0,0.125,0.0
49,2012-06-17 18:30:00,Ponte Preta,Corinthians,1.0,0.0,2012.0,pontos corridos,2,0,0,0,0,1,0,0,0,1,0,0.125,0.0
51,2012-06-23 18:30:00,Portuguesa,São Paulo,1.0,0.0,2012.0,pontos corridos,2,0,0,0,0,1,0,0,1,0,0,0.125,0.0
53,2012-06-24 16:00:00,Corinthians,Palmeiras,2.0,1.0,2012.0,pontos corridos,2,0,0,0,1,0,1,0,0,0,0,0.25,0.14285714285714285
58,2012-06-24 18:30:00,Santos,Coritiba,2.0,2.0,2012.0,pontos corridos,1,0,1,0,0,0,0,0,0,0,1,0.25,0.2857142857142857
61,2012-06-30 16:20:00,Cruzeiro,São Paulo,2.0,3.0,2012.0,pontos corridos,0,0,0,0,0,1,0,0,1,0,0,0.25,0.42857142857142855
64,2012-07-01 16:00:00,Portuguesa,Santos,0.0,0.0,2012.0,pontos corridos,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0
67,2012-07-01 18:30:00,Palmeiras,Figueirense,3.0,1.0,2012.0,pontos corridos,2,1,0,0,0,0,0,0,0,0,1,0.375,0.14285714285714285
69,2012-07-11 19:30:00,Corinthians,Botafogo,1.0,3.0,2012.0,pontos corridos,0,0,0,0,1,0,0,0,0,0,1,0.125,0.42857142857142855
75,2012-07-08 16:00:00,Santos,Grêmio,4.0,2.0,2012.0,pontos corridos,2,0,1,0,0,0,0,0,0,0,1,0.5,0.2857142857142857
76,2012-07-08 16:00:00,São Paulo,Coritiba,3.0,1.0,2012.0,pontos corridos,2,0,0,1,0,0,0,0,0,0,1,0.375,0.14285714285714285
77,2012-07-08 18:30:00,Ponte Preta,Palmeiras,1.0,0.0,2012.0,pontos corridos,2,0,0,0,0,1,1,0,0,0,0,0.125,0.0
78,2012-07-08 18:30:00,Sport,Corinthians,1.0,1.0,2012.0,pontos corridos,1,0,0,0,0,1,0,0,0,1,0,0.125,0.14285714285714285
81,2012-07-14 18:30:00,Corinthians,Náutico,2.0,1.0,2012.0,pontos corridos,2,0,0,0,1,0,0,0,0,0,1,0.25,0.14285714285714285
84,2012-07-15 16:00:00,Internacional,Santos,0.0,0.0,2012.0,pontos corridos,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0
87,2012-07-15 18:30:00,Palmeiras,São Paulo,1.0,1.0,2012.0,pontos corridos,1,1,0,0,0,0,0,0,1,0,0,0.125,0.14285714285714285
90,2012-07-18 19:30:00,Santos,Botafogo,0.0,0.0,2012.0,pontos corridos,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0
