datetime,home_team,away_team,home_goal,away_goal,season,stage,ALVO,Pre_Home_Palmeiras,Pre_Home_Santos,Pre_Home_SaoPaulo,Pre_Home_Corinthians,Pre_Away_Palmeiras,Pre_Away_Santos,Pre_Away_SaoPaulo,Pre_Away_Corinthians,Pre_home_goal,Pre_away_goal
2019-11-27 19:30:00,Chapecoense,Botafogo,0.0,1.0,2019.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714285
2015-02-24 23:30:00,Sporting Cristal,Deportivo Táchira,1.0,1.0,2015.0,group stage,1,0,0,0,0,0,0,0,0,0.125,0.14285714285714285
2020-08-20 20:00:00,São Paulo,Bahia,1.0,1.0,2020.0,pontos corridos,1,0,0,1,0,0,0,0,0,0.125,0.14285714285714285
2012-10-27 18:30:00,Botafogo,Atlético,4.0,0.0,2012.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.5,0.0
2015-02-25 19:45:00,Estudiantes,Barcelona-EQU,3.0,0.0,2015.0,group stage,2,0,0,0,0,0,0,0,0,0.375,0.0
2012-09-16 16:00:00,Coritiba,Santos,1.0,2.0,2012.0,pontos corridos,0,0,0,0,0,0,1,0,0,0.125,0.2857142857142857
2019-05-12 19:00:00,Avaí,Csa,0.0,0.0,2019.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.0,0.0
2019-07-24 19:15:00,Nacional (URU),Internacional,0.0,1.0,2019.0,round of 16,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714285
2018-09-15 16:00:00,Ceará,Vitória,2.0,0.0,2018.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.0
2015-10-04 11:00:00,Flamengo,Joinville,2.0,0.0,2015.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.0
2018-11-18 17:00:00,Botafogo,Internacional,1.0,0.0,2018.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.125,0.0
2021-10-20 19:00:00,Ceará,Palmeiras,1.0,2.0,2021.0,pontos corridos,0,0,0,0,0,1,0,0,0,0.125,0.2857142857142857
2021-11-10 21:30:00,Fortaleza,São Paulo,1.0,1.0,2021.0,pontos corridos,1,0,0,0,0,0,0,1,0,0.125,0.14285714285714285
2014-07-27 18:30:00,Grêmio,Coritiba,2.0,3.0,2014.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.25,0.42857142857142855
2020-03-03 21:30:00,Athletico,Peñarol,1.0,0.0,2020.0,group stage,2,0,0,0,0,0,0,0,0,0.125,0.0
2021-05-05 19:00:00,Independiente del Valle,Universitario-PER,4.0,0.0,2021.0,group stage,2,0,0,0,0,0,0,0,0,0.5,0.0
2013-07-06 18:30:00,Náutico,Ponte Preta,1.0,3.0,2013.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.125,0.42857142857142855
2014-05-07 19:45:00,Nacional (PAR),Arsenal Sarandí,1.0,0.0,2014.0,quarterfinals,2,0,0,0,0,0,0,0,0,0.125,0.0
2016-09-12 20:00:00,Fluminense,Atlético,4.0,2.0,2016.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.5,0.2857142857142857
2013-06-05 22:00:00,Bahia,Botafogo,2.0,1.0,2013.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.14285714285714285
2013-09-11 21:50:00,Portuguesa,Vasco da Gama,2.0,0.0,2013.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.0
2016-12-11 17:00:00,Atlético,Flamengo,0.0,0.0,2016.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.0,0.0
2020-10-24 21:00:00,Atlético,Sport,0.0,0.0,2020.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.0,0.0
2013-09-15 18:30:00,Vitória,Náutico,2.0,1.0,2013.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.14285714285714285
2019-09-15 16:00:00,Fluminense,Corinthians,1.0,0.0,2019.0,pontos corridos,2,0,0,0,0,0,0,0,1,0.125,0.0
2019-11-03 16:00:00,Flamengo,Corinthians,4.0,1.0,2019.0,pontos corridos,2,0,0,0,0,0,0,0,1,0.5,0.14285714285714285
2015-05-10 16:00:00,Cruzeiro,Corinthians,0.0,1.0,2015.0,pontos corridos,0,0,0,0,0,0,0,0,1,0.0,0.14285714285714285
2019-11-25 20:00:00,Csa,Fluminense,0.0,1.0,2019.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714285
2013-05-01 21:50:00,Boca Juniors,Corinthians,1.0,0.0,2013.0,round of 16,2,0,0,0,0,0,0,0,1,0.125,0.0
2013-06-02 18:30:00,Atlético,São Paulo,0.0,0.0,2013.0,pontos corridos,1,0,0,0,0,0,0,1,0,0.0,0.0
2017-04-20 19:00:00,Independiente Medellín,Melgar,2.0,0.0,2017.0,group stage,2,0,0,0,0,0,0,0,0,0.25,0.0
2015-07-01 22:00:00,Atlético,São Paulo,2.0,1.0,2015.0,pontos corridos,2,0,0,0,0,0,0,1,0,0.25,0.14285714285714285
2018-04-18 21:45:00,Flamengo,Ind. Santa Fe,1.0,1.0,2018.0,group stage,1,0,0,0,0,0,0,0,0,0.125,0.14285714285714285
2021-01-06 20:30:00,Sport,Fortaleza,1.0,0.0,2020.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.125,0.0
2013-10-02 21:50:00,Coritiba,Flamengo,0.0,2.0,2013.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.2857142857142857
2021-08-28 17:00:00,Sport,Chapecoense,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.0,0.0
2015-07-14 21:00:00,River Plate,Guaraní (PAR),2.0,0.0,2015.0,semifinals,2,0,0,0,0,0,0,0,0,0.25,0.0
2018-04-15 11:00:00,America Fc,Sport,3.0,0.0,2018.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.375,0.0
2021-02-03 21:30:00,Bahia,Fluminense,0.0,1.0,2020.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714285
2016-11-06 19:30:00,Coritiba,Atlético,2.0,0.0,2016.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.0
